"GEOID","B01001_001","B25001_001","B26001_001","pctWomenLTHS","pctWomenLTHSbirth","pctEnrolledSchool","pctChildrenEnrolledSchool","pctAdultsEnrolledHigherEd","pctChildrenNotEnrolledSchool","pctAdultsGraduateDegree","pctpeoplewithlessthan9thgrade","pctpeoplewithatleasthseducation","medEducatorIncome","pctEducatorAge2539","pctEducatorAge4064","pctEducatorAge65p","pctProfessionalsInEducation","pubSchoolsPer1000K","pubPriSchoolsPer1000k","totalPrimarySecondaryVocationalSchools","preKProgramPerChild","studentsEnrolledPubPriK12","totalPostSecondary","totalDegreeGranting","totalPublicUni","undergradInstPer1000K","gradInstPer1000K","avgInStateUndergradTuition","avgInStateGradTuition","avgAnnualCostRoomBoard","totalUniInstructionalStaff","education_score","education_rnk","education_sub1","education_sub2","education_sub3","education_sub4","education_state_rnk","NAME"
"01001",55380,23493,565,18.7317571511967,4.20724581223218,24.5187190738493,75.2722564922702,21.0265783260985,98.9587505006007,10.4637782000161,4.53341183397115,88.5166055610566,41.239,25.4866180048662,51.0340632603406,23.4793187347932,16.149486021712,1.13108412585023,1.33132441419625,13.2972682489921,2.88350634371396,4.14457644276005,6.37212148975686,4.34771691824,6.62596083795489,0.113632506165282,0.0406544945245837,10.6503496873936,10.8800127903246,8.47996671614123,1427.79956437657,95.02,25.2557544757033,97.81,93.07,91.13,100.49,19.6969696969697,"Autauga County, Alabama"
"01003",212830,114164,3008,14.5298770734273,0.633388629166038,21.8716269524349,76.2033328169606,17.693141832828,99.675794592717,10.8178040129176,3.5761554343798,90.8061570226057,42.192,21.3556403001599,44.9501783737237,33.6941813261164,16.4377657177563,0.327021022665204,0.529649402217106,18.2972682489921,1.00874243443174,5.22657644276005,7,5,7,0.032890100079876,0.0187943429027863,10.6503496873936,10.8800127903246,8.47996671614123,1472,92.88,21.3235294117647,100.42,91.9,83.46,93.37,16.6666666666667,"Baldwin County, Alabama"
"01005",25361,12013,2886,28.1862228776069,8.14648729446936,20.9998368944707,77.9805825242719,16.0194174757282,101.465386558868,3.96904920953017,12.586283678468,73.2130928523714,39.904,21.2669683257919,51.131221719457,27.6018099547511,30.2171023482499,2.85428707655183,3.35959278650635,13.2972682489921,2.8735632183908,3.86557644276005,6.37212148975686,4.34771691824,6.62596083795489,0.248135648887399,0.0887759121001319,10.6503496873936,10.8800127903246,8.47996671614123,1427.79956437657,113.37,85.9335038363171,97.62,95.05,138.65,89.4,87.8787878787879,"Barbour County, Alabama"
"01007",22493,9185,1893,15.7861369399831,6.15796519410977,18.7986448127461,81.9288845591817,13.2489040428641,101.447527141134,3.92751113310242,9.02399802078179,79.0573973280554,44.183,18.5595567867036,51.2465373961219,30.1939058171745,18.9900052603893,3.40689633564298,3.70846449004588,12.2972682489921,1.4265335235378,3.63957644276005,6.37212148975686,4.34771691824,6.62596083795489,0.27977451613539,0.100095403315318,10.6503496873936,10.8800127903246,8.47996671614123,1427.79956437657,107.55,65.8248081841432,97.28,95.37,111.08,80.93,56.0606060606061,"Bibb County, Alabama"
"01009",57681,24323,551,17.8003913894325,6.3764291996482,21.6006853960661,79.7223599405057,16.6005618905966,96.8966556191624,4.46834711366892,10.5350456133296,80.4905631926818,42.008,25.5581216320246,46.2663587374904,28.175519630485,24.0952900527369,1.13460562910436,1.33546934307443,13.2972682489921,1.14285714285714,3.65457644276005,6.37212148975686,4.34771691824,6.62596083795489,0.109099498819946,0.0390327127957464,10.6503496873936,10.8800127903246,8.47996671614123,1427.79956437657,105.81,58.5358056265985,97.47,92.84,115.58,89.32,48.4848484848485,"Blount County, Alabama"
"01011",10248,4557,437,21.5376782077393,0,20.5749321539853,81.5339521250611,10.4054714215926,105.233291298865,4.63315026052669,6.35121813829038,74.6796225883678,31.312,5.44554455445545,40.5940594059406,53.960396039604,23.0068337129841,3.3502814773868,3.98079850134645,6.31354642313546,3.84615384615385,2.87400121171582,6.37212148975686,4.34771691824,6.62596083795489,0.614067934370934,0.219696126734138,10.6503496873936,10.8800127903246,8.47996671614123,1427.79956437657,113.75,86.9884910485933,95.71,98.07,118.6,81.64,92.4242424242424,"Bullock County, Alabama"
"01013",19828,10089,323,20,4.99445061043285,21.1266868919343,80.1188412973508,14.1866798712553,97.8826376285541,6.41869889282871,7.01208481076778,85.0495694333888,27.321,14.2335766423358,36.3138686131387,49.4525547445255,24.1663057600693,3.41720152722085,3.71968186599883,12.2972682489921,2.18340611353712,4.00057644276005,6.37212148975686,4.34771691824,6.62596083795489,0.317377859160446,0.113548815148852,10.6503496873936,10.8800127903246,8.47996671614123,1427.79956437657,107.85,67.3593350383632,97.54,95.73,106.89,86.47,62.1212121212121,"Butler County, Alabama"
"01015",114618,53631,3134,17.6900858996962,5.27989821882952,24.3807217156336,67.1250648676699,26.7810808807176,98.7189271696467,7.97517318096779,7.53021186226425,84.432674318653,39.794,30.0792393026941,37.2107765451664,32.7099841521395,21.1420242093922,0.615856315361542,0.942938740132585,17.2972682489921,1.22925629993854,4.62957644276005,2,2,2,0.0174492662583538,0.0174492662583538,9.72,9.6,8,1364,98.35,32.6086956521739,92.97,92.04,102.85,111.23,21.2121212121212,"Calhoun County, Alabama"
"01017",33660,16988,532,18.3362545503573,7.86764705882353,21.0723462217132,70.7360070515646,23.4905244601146,95.8781362007169,3.79587204169994,8.31476732943798,81.6217579553575,39.035,24.4818652849741,44.8186528497409,30.699481865285,23.63024181206,2.24955560513583,3.245174880325,16.2972682489921,2.002002002002,4.03757644276005,6.37212148975686,4.34771691824,6.62596083795489,0.186956868432363,0.0668878760181654,10.6503496873936,10.8800127903246,8.47996671614123,1427.79956437657,102.71,46.5153452685422,98.26,94.26,112.62,101.03,33.3333333333333,"Chambers County, Alabama"
"01019",25903,16579,275,25.5531623262189,3.83141762452107,20.1890856869315,80.5374431930449,16.0640189685833,100.443568260227,6.1089329235986,10.0720567977111,81.5725336441666,45.259,15.9420289855072,57.9710144927536,26.0869565217391,27.0058708414873,1.9714144898965,5.30442923683911,21.5253738430931,7.6219512195122,5.68115268743184,6.37212148975686,4.34771691824,6.62596083795489,0.242943604657118,0.0869183456268172,10.6503496873936,10.8800127903246,8.47996671614123,1427.79956437657,107.34,64.6739130434783,100.32,95.6,121.19,86.21,53.030303030303,"Cherokee County, Alabama"
