"geoid","geolevel","year","education_score","education_rnk","education_state_rnk"
"05000US13053","county","2019","118.36","83.9194","88.535"
"05000US13055","county","2019","71.43","6.0102","10.828"
"05000US13057","county","2019","129.79","91.9437","95.5414"
"05000US13059","county","2019","135.37","95.0767","96.1783"
"05000US13061","county","2019","82.43","17.3913","35.0318"
"05000US13063","county","2019","103.25","59.399","71.3376"
"05000US13065","county","2019","61.56","2.2059","2.5478"
"05000US13067","county","2019","139.43","96.5473","98.0892"
"05000US13069","county","2019","71.33","5.9143","10.1911"
"05000US13071","county","2019","69.13","4.6675","8.2803"
"05000US13073","county","2019","128.41","91.2084","94.9045"
"05000US13075","county","2019","76.2","9.4629","19.1083"
"05000US13077","county","2019","117.77","83.376","87.8981"
"05000US13079","county","2019","87.49","26.087","45.8599"
"05000US13081","county","2019","86.9","24.968","44.586"
"05000US13083","county","2019","91","32.4808","53.1847"
"05000US13085","county","2019","113.57","77.8772","85.9873"
"05000US13087","county","2019","82.42","17.3593","34.3949"
"05000US13089","county","2019","135.44","95.1407","96.8153"
"05000US13091","county","2019","88.57","28.0691","47.1338"
"05000US13093","county","2019","75.43","8.9194","17.1975"
"05000US13095","county","2019","103.73","60.3261","71.9745"
"05000US13097","county","2019","115.7","80.6905","87.2611"
"05000US13099","county","2019","79.65","13.3951","24.8408"
"05000US13101","county","2019","63.89","2.6535","3.1847"
"05000US13103","county","2019","111.12","74.5844","83.4395"
"05000US13105","county","2019","75.94","9.3031","18.4713"
"05000US13107","county","2019","81.9","16.5601","31.8471"
"05000US13109","county","2019","74.18","7.9284","15.2866"
"05000US13111","county","2019","98.34","47.922","64.9682"
"05000US13113","county","2019","138.21","96.1637","97.4522"
"05000US13115","county","2019","93.22","36.3811","57.9618"
"05000US13117","county","2019","143.75","97.4744","99.3631"
"05000US13119","county","2019","89.05","28.9322","48.4076"
"05000US13121","county","2019","152.84","99.0729","100"
"05000US13123","county","2019","89.48","29.6995","50.3185"
"05000US13125","county","2019","86.77","24.6483","42.6752"
"05000US13127","county","2019","105.31","64.0026","76.4331"
"05000US13129","county","2019","80.15","14.4182","26.7516"
"05000US13131","county","2019","83.52","18.798","36.3057"
"05000US13133","county","2019","107.46","68.1586","78.9809"
"05000US13135","county","2019","123.1","88.2673","93.6306"
"05000US13137","county","2019","90.22","31.234","51.5924"
"05000US13139","county","2019","89.18","29.188","49.6815"
"05000US13141","county","2019","78.12","11.413","21.6561"
"05000US13143","county","2019","87.34","25.8632","45.2229"
"05000US13145","county","2019","119.98","85.6777","91.0828"
"05000US13147","county","2019","87.81","26.7263","46.4968"
"05000US13149","county","2019","74.41","8.2161","15.9236"
"05000US13151","county","2019","118.91","84.5908","90.4459"
"05000US13153","county","2019","120.41","85.9974","91.7197"
"05000US13155","county","2019","82.3","17.1675","33.758"
"05000US13157","county","2019","100.81","54.0601","69.1083"
"05000US13159","county","2019","81.43","15.8248","29.9363"
"05000US13161","county","2019","68.82","4.4757","7.0064"
