"GEOID","B01001_001","B25001_001","B26001_001","pctWomenLTHS","pctpeoplewithlessthan9thgrade","pctpeoplewithatleasthseducation","pctAdults4yrDegree","medIncomeAdults4yrDegree","medEducatorIncome","pctProfessionalsInEducation","pctEnrolledSchool","pctAdultsInHigherEd","totalPrimarySecondaryVocationalSchools","preKProgramPerChild","education_score","education_rnk","attainment_score","quality_education_score","enrollment_score","education_access_score","education_state_rnk","NAME"
"01001",17621,7769,544,9.23566878980892,3.9458098904353,91.4791234823808,32.1465968586387,56.433,57.512,15.8829676071055,21.9189268008166,15.879451314278,0.317073170731707,0.387146728610143,117.21,82.2188641229064,87.4,118.96,92.7,91.84,39.4514767932489,"ZCTA5 01001"
"01002",30066,10947,5268,6.65661136249372,3.41343725193043,95.1648986072021,39.4360317279593,40.744,27.54,6.58496255228091,53.6647890174385,8.26744143282704,1.28518518518519,2.45743373705459,114.2,77.4965369600806,79.52,94.94,138.46,93.56,30.379746835443,"ZCTA5 01002"
"01003",11238,60,11161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ZCTA5 01003"
"01005",4991,2074,228,16.2350597609562,0.980666853460353,96.1333706920706,31.2389603835478,69.219,44.612,20.1995012468828,25.1788268955651,16.0849056603774,0.471264367816092,2.27716330513988,116.98,81.8536708223146,85.27,116.1,99.23,92.2,39.0295358649789,"ZCTA5 01005"
"01007",14967,5925,6,10.9556415599881,1.34387351778656,94.7332015810277,44.3545611015491,59.183,56.654,9.7755800684671,26.9899986299493,19.3637173156318,0.185185185185185,0.0781372089388967,123.82,89.850144818033,78.95,124.82,108.7,91.6,61.3924050632911,"ZCTA5 01007"
"01008",1197,634,0,18.348623853211,3.79346680716544,89.8840885142255,30.47711781889,63.917,72.679,12.4203821656051,16.4255319148936,9.26966292134832,0.317073170731707,7.76053215077605,119.96,85.6944969147463,95.46,136.84,70.13,92.26,47.0464135021097,"ZCTA5 01008"
"01009",249,206,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ZCTA5 01009"
"01010",3739,1710,0,15.1741293532338,1.94454447245229,94.1663665826431,33.4450402144772,62.045,46.023,14.936247723133,21.54956956401,17.1401212894989,0.317073170731707,1.61067648412333,116.27,80.884019644881,86.57,115.93,94.34,91.91,36.7088607594937,"ZCTA5 01010"
"01011",1448,696,11,16.7832167832168,3.70027752081406,88.7141535615171,17.9746835443038,48.125,46.25,8.96860986547085,20.2595529920692,12.056151940545,0.502258355916892,4.72201691713887,106.47,62.9979431641691,99.32,110.78,82.51,92.39,17.7215189873418,"ZCTA5 01011"
"01012",560,333,0,3.75,1.80995475113122,90.7239819004525,27.6955602536998,43,46.25,15.3846153846154,13.2969034608379,12.8099173553719,0.185185185185185,2.17864923747277,117.38,82.4497334508668,83.28,102.46,70.78,91.72,40.4008438818565,"ZCTA5 01012"
"01013",23065,10192,685,19.0773067331671,10.0281468874779,80.0091641028998,17.2919793229948,42.821,33.333,12.6715608043409,25.8675078864353,17.4451055763256,4.31707317073171,2.969537219312,86.48,21.025899340973,115.65,95.75,103.04,98.63,5.69620253164557,"ZCTA5 01013"
"01020",30097,13326,76,14.7373243738546,5.54383444808547,87.6284957579566,16.8300388852884,53.885,38.38,10.9184629803187,21.3590581189601,14.7550682338093,4.31707317073171,3.12335497455694,102.59,54.3256516811485,101.26,108.12,89.57,98.64,13.9240506329114,"ZCTA5 01020"
"01022",2499,1161,547,25.1028806584362,1.65499681731381,94.7803946530872,18.7015503875969,44.018,37.067,8.48329048843188,35.615866388309,11.9584837545126,0.317073170731707,1.64165103189493,102.94,55.1609788859505,97.4,102.16,111.27,91.91,14.1350210970464,"ZCTA5 01022"
"01026",954,520,0,0,0.422535211267606,97.4647887323944,39.4422310756972,26.786,44.063,15.1898734177215,19.5744680851064,18.018018018018,0.185185185185185,2.17864923747277,121.58,87.4700919279688,69.57,89.84,92.24,91.72,53.5864978902954,"ZCTA5 01026"
"01027",17848,8494,76,9.47624847746651,1.62123385939742,95.3371592539455,34.5284644442972,45.337,45.699,9.84654731457801,20.4075758447988,11.7876559002239,0.185185185185185,0.11832919181162,120.48,86.3577215296142,80.9,107.82,82.29,91.6,49.3670886075949,"ZCTA5 01027"
"01028",16200,6175,445,10.7598784194529,2.67654751525719,94.716652136007,40.1803214425715,63.01,58.333,14.6976221681333,24.3795341733486,17.0362601138747,0.317073170731707,0.525328330206379,122.92,88.8930865130336,81.68,124.97,99.48,91.84,58.3333333333333,"ZCTA5 01028"
"01029",651,1055,0,5.29411764705882,2.56410256410256,91.7159763313609,35.5839416058394,70.833,32.5,21.9895287958115,12.5,11.1111111111111,0.363636363636364,6.06060606060606,121.11,87.0293413927717,81.8,107.84,66.14,92.24,51.6877637130802,"ZCTA5 01029"
"01030",11123,4615,19,14.2288996906761,1.92214111922141,94.8296836982968,32.1941835464524,56.029,43.875,16.0875608061154,24.263431542461,17.1455736319459,0.317073170731707,0.677506775067751,114.47,78.0002518574487,85.73,109.45,99.46,91.85,31.6455696202532,"ZCTA5 01030"
"01031",1197,653,0,19.0697674418605,1.52046783625731,90.7602339181286,24.6618106139438,39.464,42.292,11.1570247933884,17.4782608695652,9.38446014127144,0.471264367816092,3.44827586206897,108.71,67.7412584477186,94.54,100.49,72.33,92.27,20.253164556962,"ZCTA5 01031"
"01032",533,367,0,17.6991150442478,0.748129675810474,96.5087281795511,44.5754716981132,59.038,64.25,5.18134715025907,19.9612403100775,14.0229885057471,0.185185185185185,1.68350168350168,127.68,92.9228056919783,81.38,133.17,85.58,91.69,69.620253164557,"ZCTA5 01032"
"01033",6333,2551,0,8.19559228650138,2.82198175259919,93.4224485465733,39.8516264028914,50.564,27.101,12.1113689095128,22.1180274858529,13.4643916913947,0.185185185185185,0.203500203500203,116.26,80.8756243965915,81.27,97.41,88.61,91.61,36.4978902953587,"ZCTA5 01033"
"01034",2179,1226,0,14.0552995391705,1.30030959752322,95.4179566563467,29.4051627384961,68.75,55.357,17.5276752767528,20.4139228598307,16.0560344827586,0.317073170731707,4.0650406504065,120.37,86.2317928052722,85.31,124.9,90.19,92.05,49.1561181434599,"ZCTA5 01034"
"01035",5310,2460,149,5.80110497237569,2.15568862275449,95.9760479041916,46.2839341344014,53.478,48.448,8.36466165413534,23.1990924560408,13.1454388984509,0.185185185185185,0.638569604086845,127.61,92.880829450531,74.6,116.42,90.06,91.63,69.3037974683544,"ZCTA5 01035"
"01036",5191,2109,93,18.5774946921444,1.31375579598145,93.8948995363215,32.4736225087925,75.536,46.25,18.3760683760684,21.3665086887836,14.9509803921569,0.317073170731707,1.47182506307822,117.5,82.5924526717878,88.77,122.95,89.95,91.9,40.9282700421941,"ZCTA5 01036"
"01037",798,266,145,13.4328358208955,0,100,35.6435643564356,61.875,58.636,32.0574162679426,36.4556962025316,13.0970724191063,0.471264367816092,30.1724137931034,121.42,87.3231750829031,77.5,111.55,114.96,93.82,53.1645569620253,"ZCTA5 01037"
"01038",2867,1457,15,13.6524822695035,0.530973451327434,98.4955752212389,38.6505622657226,54.444,43.563,13.936170212766,19.8176078568923,14.6255850234009,0.185185185185185,1.12233445566779,121.92,87.814297107837,78.55,109.73,86.43,91.66,54.6413502109705,"ZCTA5 01038"
"01039",1042,551,4,10.2564102564103,1.24575311438279,95.4699886749717,54.4768069039914,33.75,63,16.3841807909604,12.6091173617847,7.84313725490196,0.285185185185185,3.36700336700337,129.05,93.9596188557277,74.44,106.42,60.3,91.96,72.5738396624473,"ZCTA5 01039"
"01040",40376,16855,1243,27.4097241967586,13.5277819379961,78.8003594428636,21.1437633503787,45.783,40.237,12.3174220749887,24.8565669095984,18.072030651341,4.31707317073171,1.15834135929406,81.73,14.9813205725559,125.15,102.67,102.29,98.53,4.64135021097046,"ZCTA5 01040"
"01050",2422,1273,0,13.7931034482759,1.2987012987013,94.4664031620553,26.502311248074,30.962,56.25,18.6206896551724,19.845027981059,12.2418879056047,0.502258355916892,2.8856770049182,112.7,75.091298325148,86.88,98.33,82.07,92.29,26.7932489451477,"ZCTA5 01050"
"01053",1702,623,451,15.1832460732984,2.68857356235997,93.9507094846901,41.6782246879334,58.102,34.805,8.75912408759124,16.3973668461999,12.059620596206,0.185185185185185,0.788022064617809,118.91,84.4310120471813,84.93,110.28,75.24,91.64,45.1476793248945,"ZCTA5 01053"
